pool_size=1, time=0.3094649314880371
pool_size=2, time=0.2619750499725342
pool_size=3, time=0.25727391242980957
pool_size=4, time=0.2563469409942627
pool_size=5, time=0.29181385040283203
pool_size=6, time=0.33078622817993164
pool_size=7, time=0.3494389057159424
pool_size=8, time=0.3779430389404297
pool_size=9, time=0.41269397735595703
pool_size=10, time=0.4547240734100342
pool_size=11, time=0.5060820579528809
pool_size=12, time=0.5285840034484863
pool_size=13, time=0.5740299224853516
pool_size=14, time=0.6394429206848145
pool_size=15, time=0.6617240905761719
pool_size=16, time=0.7060322761535645
pool_size=17, time=0.7400312423706055
pool_size=18, time=0.785531759262085
pool_size=19, time=0.7515788078308105
