pool_size=1, time=0.31186985969543457
pool_size=2, time=0.25963711738586426
pool_size=3, time=0.25802087783813477
pool_size=4, time=0.2817869186401367
pool_size=5, time=0.2964460849761963
pool_size=6, time=0.3244190216064453
pool_size=7, time=0.35007381439208984
pool_size=8, time=0.38025379180908203
pool_size=9, time=0.42163872718811035
pool_size=10, time=0.45732688903808594
pool_size=11, time=0.5053408145904541
pool_size=12, time=0.5658161640167236
pool_size=13, time=0.6262509822845459
pool_size=14, time=0.6621520519256592
pool_size=15, time=0.7089998722076416
pool_size=16, time=0.742114782333374
pool_size=17, time=0.7948338985443115
pool_size=18, time=0.8289299011230469
pool_size=19, time=0.864264965057373
